,Gr Liv Area,Total Bsmt SF,Garage Cars,Garage Area,Year Built,Year Remod/Add,TotRms AbvGrd,Mas Vnr Area,Fireplaces,Lot Frontage,Lot Area,porch_deck_sqft,all_baths_count,Neighborhood,MS Zoning,Bldg Type,Mas Vnr Type,House Style,Foundation,Sale Type,Overall Qual,Overall Cond,Exter Qual,Bsmt Qual,Heating QC,Kitchen Qual,Functional,Electrical,Garage Qual,SalePrice
10,1768,880.0,2.0,320.0,1914,1970,6,0.0,2,60.0,10800,341,2.0,OldTown,RM,1Fam,None,2.5Unf,BrkTil,WD ,7,7,TA,Gd,Fa,TA,Typ,SBrkr,TA,163000
11,1440,1440.0,2.0,467.0,1981,1981,7,310.0,1,80.57142857142857,12546,99,2.0,NWAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,6,7,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,182900
12,1633,1027.0,1.0,240.0,1948,2009,7,0.0,1,69.0,11851,226,1.0,OldTown,RM,1Fam,None,1.5Fin,BrkTil,WD ,5,7,TA,TA,Ex,Gd,Typ,SBrkr,TA,129000
13,1210,1128.0,2.0,528.0,1975,1975,6,257.0,0,140.0,11080,0,3.0,Mitchel,RL,1Fam,BrkFace,SLvl,CBlock,WD ,6,6,TA,TA,TA,TA,Typ,SBrkr,TA,148000
14,3238,2033.0,3.0,666.0,1995,1996,9,579.0,1,56.0,14720,369,4.0,NoRidge,RL,1Fam,BrkFace,1.5Fin,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,410000
15,1032,1032.0,1.0,280.0,1924,1950,5,0.0,0,56.0,7741,112,1.0,OldTown,RM,1Fam,None,1Story,BrkTil,COD,6,5,TA,TA,Gd,TA,Typ,FuseA,TA,108000
16,864,864.0,1.0,420.0,1961,2007,5,0.0,1,75.0,8100,132,2.0,Sawyer,RL,1Fam,None,1Story,CBlock,WD ,5,8,TA,TA,Ex,Gd,Typ,SBrkr,TA,135000
17,1020,980.0,2.0,528.0,1964,2001,5,50.0,1,65.0,14149,0,3.0,Sawyer,RL,1Fam,BrkFace,SLvl,CBlock,WD ,5,8,Gd,TA,TA,TA,Typ,SBrkr,TA,165000
18,1868,1868.0,3.0,1085.0,2005,2005,7,568.0,1,120.0,14780,566,3.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,WD ,9,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,415000
19,1687,747.0,2.0,572.0,1948,1950,7,0.0,2,80.08695652173913,57200,50,2.0,Timber,RL,1Fam,None,1Story,CBlock,WD ,5,5,TA,TA,TA,TA,Min1,SBrkr,TA,160000
20,988,988.0,1.0,360.0,1966,1966,5,52.0,0,65.0,7150,0,2.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,5,6,TA,TA,TA,TA,Typ,SBrkr,TA,129250
21,1074,1056.0,2.0,495.0,1975,1975,6,0.0,0,78.0,10140,88,3.0,NWAmes,RL,1Fam,None,1Story,CBlock,WD ,5,6,TA,Gd,Ex,TA,Typ,SBrkr,TA,153500
22,992,381.0,1.0,319.0,1954,1954,6,0.0,0,68.0,8842,116,1.0,Edwards,RL,1Fam,None,1Story,CBlock,Oth,5,6,TA,Fa,Ex,TA,Typ,SBrkr,TA,155891
23,1710,576.0,2.0,480.0,1921,1950,9,0.0,0,50.0,10300,87,2.0,OldTown,RM,1Fam,None,2Story,BrkTil,WD ,7,6,TA,TA,Gd,TA,Typ,SBrkr,TA,140000
24,1009,995.0,2.0,576.0,1977,1977,6,51.0,1,72.0,9720,0,2.0,CollgCr,RL,1Fam,BrkFace,SLvl,CBlock,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,160000
25,1092,1092.0,0.0,0.0,2007,2008,5,0.0,0,77.0,9278,52,1.0,Mitchel,RL,1Fam,None,1Story,PConc,WD ,5,5,TA,Gd,Ex,TA,Typ,SBrkr,No Garage,146000
26,948,864.0,1.0,248.0,1954,1954,5,132.0,0,75.0,10215,0,1.0,Edwards,RL,1Fam,BrkFace,1Story,PConc,WD ,4,5,TA,TA,Ex,TA,Typ,SBrkr,TA,111000
27,1948,847.0,2.0,434.0,2004,2005,8,0.0,1,41.0,12393,148,3.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,195000
28,1518,1518.0,2.0,588.0,2003,2004,6,472.0,1,62.0,12677,325,2.0,NridgHt,RL,TwnhsE,BrkFace,1Story,PConc,WD ,8,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,274000
29,1456,728.0,2.0,429.0,2006,2006,8,0.0,0,105.0,15578,0,3.0,Gilbert,RL,1Fam,None,2Story,PConc,New,6,5,Gd,Gd,Gd,TA,Typ,SBrkr,TA,172785
30,1513,939.0,1.0,180.0,1920,2004,8,0.0,0,51.0,6120,174,2.0,BrkSide,RM,1Fam,None,2Story,BrkTil,WD ,5,8,TA,TA,Ex,TA,Typ,SBrkr,Fa,137500
31,1262,1262.0,2.0,572.0,2006,2006,5,68.0,0,60.0,7200,120,2.0,Somerst,FV,1Fam,Stone,1Story,PConc,New,6,5,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,185000
32,819,610.0,0.0,0.0,1919,1950,4,0.0,0,50.0,9000,0,1.0,IDOTRR,RM,1Fam,None,1Story,BrkTil,WD ,5,4,TA,TA,Ex,Gd,Typ,FuseA,No Garage,72000
33,1740,800.0,1.0,240.0,1940,1984,6,0.0,2,75.0,13125,0,2.0,Crawfor,RL,1Fam,None,2Story,CBlock,CWD,7,6,TA,TA,TA,TA,Typ,SBrkr,TA,219500
34,2687,2062.0,2.0,618.0,1994,1994,9,0.0,0,68.0,13108,180,3.0,StoneBr,RL,1Fam,None,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,270000
35,1630,868.0,2.0,436.0,2004,2005,7,200.0,1,62.0,7984,168,3.0,Gilbert,RL,1Fam,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,189500
36,1388,675.0,1.0,317.0,1977,1977,6,62.0,0,50.0,8340,442,2.0,CollgCr,RL,1Fam,BrkFace,2Story,CBlock,WD ,6,6,TA,Gd,TA,TA,Typ,SBrkr,TA,157500
37,1498,1498.0,3.0,844.0,2005,2006,7,76.0,1,78.0,11645,242,2.0,CollgCr,RL,1Fam,Stone,1Story,PConc,WD ,8,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,237000
38,1930,720.0,1.0,316.0,1927,1950,8,0.0,0,57.0,6876,213,3.0,IDOTRR,RM,1Fam,None,2Story,CBlock,WD ,6,5,TA,TA,Fa,TA,Typ,SBrkr,TA,149000
39,1928,686.0,0.0,0.0,1916,1995,10,0.0,0,56.7,7082,228,2.0,SWISU,RH,2fmCon,None,2Story,PConc,WD ,5,8,TA,TA,Gd,TA,Typ,SBrkr,No Garage,160000
40,1126,1126.0,2.0,484.0,1977,1977,5,0.0,1,80.0,17400,336,3.0,Mitchel,RL,1Fam,None,1Story,CBlock,WD ,5,5,TA,TA,Fa,TA,Typ,SBrkr,TA,160000
41,1818,895.0,3.0,774.0,2007,2007,8,246.0,1,85.8395061728395,12568,300,4.0,NridgHt,RL,1Fam,Stone,2Story,PConc,New,8,5,Gd,Ex,Ex,Ex,Typ,SBrkr,TA,281500
42,1656,1080.0,2.0,528.0,1960,1960,7,112.0,2,141.0,31770,272,2.0,NAmes,RL,1Fam,Stone,1Story,CBlock,WD ,6,5,TA,TA,Fa,TA,Typ,SBrkr,TA,215000
43,1573,756.0,2.0,440.0,2000,2000,4,216.0,0,24.0,2117,32,3.0,Somerst,FV,Twnhs,BrkFace,2Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,177000
44,1430,1430.0,2.0,624.0,2004,2005,7,0.0,0,93.0,10114,0,2.0,Mitchel,RL,1Fam,None,1Story,PConc,WD ,5,5,TA,Ex,Ex,Gd,Typ,SBrkr,TA,173500
45,1911,777.0,2.0,471.0,1993,1994,8,125.0,1,80.0,9554,263,3.0,SawyerW,RL,1Fam,BrkFace,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,215000
46,1092,1092.0,1.0,264.0,1966,1966,6,0.0,0,75.0,9825,420,1.0,Edwards,RL,1Fam,None,1Story,CBlock,COD,5,5,TA,TA,TA,TA,Typ,SBrkr,TA,123000
47,1266,630.0,1.0,283.0,1980,1980,5,0.0,2,50.0,8012,340,2.0,SawyerW,RL,TwnhsE,None,2Story,CBlock,WD ,6,5,TA,TA,Ex,TA,Typ,SBrkr,TA,128000
48,1721,1331.0,2.0,464.0,1957,1969,8,289.0,3,80.0,9736,0,1.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,6,6,TA,TA,Gd,TA,Typ,SBrkr,TA,174850
49,1823,928.0,2.0,626.0,2000,2001,6,0.0,0,75.0,12192,228,4.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,235000
50,1344,536.0,0.0,0.0,1915,1950,8,0.0,0,60.0,10320,246,2.0,IDOTRR,RM,2fmCon,None,2Story,PConc,WD ,3,3,Fa,TA,Ex,TA,Typ,FuseF,No Garage,82375
51,3078,1408.0,3.0,806.0,1998,1998,9,422.0,1,89.0,10557,195,4.0,NoRidge,RL,1Fam,BrkFace,2Story,PConc,WD ,9,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,410000
52,1045,516.0,2.0,462.0,1980,1980,5,0.0,1,24.0,1782,180,1.0,Blueste,RM,Twnhs,None,2Story,CBlock,WD ,6,6,TA,Gd,Gd,TA,Typ,SBrkr,TA,123900
53,2392,2392.0,3.0,968.0,2003,2003,8,922.0,1,103.0,13472,353,2.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,WD ,10,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,386250
54,1788,1753.0,2.0,522.0,2001,2001,7,0.0,1,71.15384615384616,11838,353,2.0,CollgCr,RL,1Fam,None,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Ex,Typ,SBrkr,TA,236500
55,1950,1950.0,3.0,706.0,2007,2007,7,480.0,1,104.0,14418,363,3.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,WD ,9,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,383000
56,1133,795.0,2.0,900.0,1950,1950,5,0.0,0,60.0,8064,231,1.0,NAmes,RL,1Fam,None,1.5Fin,CBlock,COD,6,5,TA,TA,Gd,TA,Typ,SBrkr,TA,128500
57,1728,1216.0,1.0,371.0,1953,2004,7,0.0,1,74.88947368421053,12099,200,2.0,NAmes,RL,1Fam,None,1.5Fin,CBlock,WD ,5,6,TA,TA,Ex,TA,Typ,SBrkr,TA,156000
58,1044,912.0,2.0,372.0,1968,1968,5,0.0,1,78.0,10180,248,3.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,6,TA,TA,TA,TA,Typ,SBrkr,TA,139000
59,1253,1253.0,1.0,352.0,1960,1960,5,212.0,1,74.88947368421053,10920,389,3.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,6,5,TA,TA,TA,TA,Typ,SBrkr,TA,157000
60,2048,1054.0,2.0,552.0,2003,2004,8,0.0,2,64.17021276595744,8010,228,4.0,Somerst,FV,1Fam,None,2Story,PConc,WD ,8,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,301000
61,1796,794.0,2.0,546.0,1998,1998,7,0.0,0,71.15384615384616,9531,36,4.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Ex,TA,Typ,SBrkr,TA,211000
62,1800,1800.0,0.0,0.0,1961,1961,10,0.0,0,80.0,8000,0,2.0,NAmes,RL,Duplex,None,1Story,CBlock,WD ,5,4,TA,TA,Ex,TA,Typ,SBrkr,No Garage,141000
63,864,864.0,2.0,572.0,1955,1990,5,0.0,0,60.0,8172,0,2.0,Edwards,RL,1Fam,None,1Story,CBlock,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,115000
64,1614,1614.0,3.0,878.0,2005,2006,7,210.0,0,70.0,9926,138,3.0,NridgHt,RL,1Fam,BrkFace,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,245700
65,1795,1050.0,1.0,352.0,1954,1954,7,335.0,0,81.0,12150,0,2.0,OldTown,RM,1Fam,BrkFace,1.5Fin,BrkTil,WD ,5,5,TA,TA,Ex,TA,Typ,FuseF,Fa,131500
66,1586,1362.0,2.0,435.0,1979,1998,7,0.0,1,48.0,17043,192,2.0,NWAmes,RL,1Fam,None,1Story,CBlock,WD ,6,5,TA,Gd,TA,TA,Typ,SBrkr,TA,181000
67,2180,1138.0,2.0,720.0,1915,1950,7,0.0,1,60.0,10320,170,2.0,IDOTRR,RM,1Fam,None,1.5Fin,CBlock,WD ,6,5,TA,TA,Gd,TA,Typ,SBrkr,TA,161000
68,605,528.0,0.0,0.0,1920,2002,5,0.0,0,58.0,9098,144,2.0,Edwards,RL,1Fam,None,1Story,BrkTil,WD ,4,7,TA,TA,Ex,TA,Typ,SBrkr,No Garage,86000
69,1909,872.0,2.0,529.0,2002,2002,8,0.0,0,70.0,8726,108,3.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,197000
70,1456,728.0,2.0,410.0,2005,2005,7,0.0,1,63.0,8199,54,4.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,189000
71,1588,1588.0,3.0,825.0,2006,2006,7,410.0,1,85.0,10000,189,2.0,Somerst,RL,1Fam,Stone,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,227000
72,2526,714.0,1.0,216.0,1916,1950,10,0.0,1,60.0,8520,103,2.0,OldTown,RM,1Fam,None,1.5Fin,BrkTil,CWD,6,7,TA,TA,TA,Gd,Typ,SBrkr,TA,136000
73,1252,504.0,2.0,576.0,1908,1991,5,0.0,0,92.0,7438,104,1.0,BrkSide,RL,1Fam,None,1.5Fin,PConc,WD ,5,8,TA,Fa,Gd,TA,Typ,SBrkr,TA,127000
74,1639,1064.0,1.0,240.0,1936,1950,6,0.0,0,51.0,10480,0,1.0,SWISU,RL,1Fam,None,1.5Fin,BrkTil,WD ,6,5,TA,TA,Ex,TA,Maj2,FuseA,TA,115000
75,1191,1191.0,2.0,531.0,1989,1989,5,0.0,1,35.0,3907,193,2.0,Blueste,RM,TwnhsE,None,1Story,CBlock,WD ,8,5,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,162500
76,1358,1348.0,2.0,418.0,2002,2002,5,0.0,1,71.15384615384616,11088,234,3.0,CollgCr,RL,1Fam,None,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,220000
77,1092,546.0,0.0,0.0,1970,2007,6,0.0,0,21.0,1477,187,3.0,MeadowV,RM,Twnhs,None,2Story,CBlock,WD ,6,9,TA,TA,Ex,TA,Typ,SBrkr,No Garage,98000
78,1914,1420.0,3.0,746.0,2004,2004,9,112.0,1,85.8395061728395,13215,295,4.0,NridgHt,RL,1Fam,BrkFace,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,279000
79,980,945.0,0.0,0.0,1975,1975,4,250.0,0,35.0,9400,0,4.0,Edwards,RL,Duplex,BrkFace,SFoyer,CBlock,WD ,6,5,TA,Gd,TA,TA,Typ,SBrkr,No Garage,127500
80,1608,945.0,2.0,470.0,1997,1997,7,0.0,1,88.0,10179,282,3.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Ex,TA,Typ,SBrkr,TA,189500
81,1073,1073.0,2.0,515.0,1965,1965,6,168.0,0,79.0,10289,0,3.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,156000
82,996,936.0,2.0,564.0,1992,1992,5,0.0,0,73.0,9069,120,2.0,SawyerW,RL,1Fam,None,SFoyer,PConc,WD ,6,6,TA,Gd,Ex,Gd,Typ,SBrkr,TA,147000
83,1194,655.0,2.0,539.0,1959,1959,6,0.0,1,79.0,8910,192,2.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,6,6,TA,TA,Ex,TA,Typ,SBrkr,TA,159500
84,1691,1680.0,2.0,550.0,1967,1967,5,0.0,0,90.0,9900,327,2.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,6,5,Gd,TA,TA,TA,Typ,SBrkr,Gd,175000
85,986,960.0,1.0,180.0,1926,1950,5,0.0,1,60.0,6180,128,1.0,BrkSide,RM,1Fam,None,1Story,BrkTil,WD ,6,5,TA,TA,TA,TA,Typ,SBrkr,TA,102000
86,2158,1202.0,2.0,576.0,1950,2001,7,0.0,1,84.0,12615,68,3.0,Edwards,RL,1Fam,None,1Story,CBlock,WD ,6,7,TA,TA,TA,Gd,Typ,SBrkr,TA,243000
87,2064,1074.0,2.0,527.0,2005,2005,7,216.0,1,50.0,13128,119,3.0,Gilbert,RL,1Fam,BrkFace,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,250000
88,1680,886.0,2.0,474.0,1993,1994,7,120.0,0,50.0,8480,240,4.0,SawyerW,RL,1Fam,BrkFace,2Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,163000
89,1588,725.0,2.0,561.0,2007,2007,8,0.0,0,81.0,10411,0,3.0,Somerst,FV,1Fam,None,2Story,CBlock,New,5,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,212109
90,1479,1453.0,2.0,558.0,2003,2003,7,167.0,0,72.0,10665,173,3.0,CollgCr,RL,1Fam,BrkFace,1Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,226000
91,1594,828.0,0.0,0.0,1910,1996,9,0.0,0,63.0,11426,281,2.0,OldTown,RM,2fmCon,None,1.5Fin,Stone,WD ,4,6,TA,TA,Gd,TA,Typ,FuseA,No Garage,118000
92,1531,1504.0,3.0,700.0,2006,2006,6,122.0,1,77.0,10872,236,3.0,NridgHt,RL,1Fam,Stone,1Story,PConc,WD ,9,5,Gd,Ex,Ex,Ex,Typ,SBrkr,TA,300000
93,1414,864.0,0.0,0.0,1922,1950,8,0.0,1,45.0,8248,112,1.0,Edwards,RL,1Fam,None,1.5Fin,BrkTil,COD,4,4,TA,TA,TA,TA,Typ,SBrkr,No Garage,83000
94,1786,824.0,2.0,684.0,1997,1997,7,0.0,0,69.0,9337,162,4.0,CollgCr,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Ex,Gd,Typ,SBrkr,TA,204750
95,1502,1488.0,2.0,528.0,1985,1985,4,0.0,0,59.666666666666664,6820,194,3.0,StoneBr,RL,TwnhsE,None,1Story,PConc,WD ,8,5,Gd,Gd,TA,Gd,Typ,SBrkr,TA,212000
96,1566,816.0,2.0,450.0,1924,1950,7,145.0,0,50.0,6000,320,2.0,OldTown,RM,1Fam,BrkFace,1.5Fin,PConc,WD ,5,7,TA,TA,Ex,Gd,Typ,SBrkr,TA,139000
97,1993,825.0,2.0,495.0,1971,1971,8,252.0,1,80.57142857142857,14803,66,3.0,NWAmes,RL,1Fam,BrkFace,2Story,CBlock,WD ,6,5,TA,TA,Gd,TA,Typ,SBrkr,TA,190000
98,1479,725.0,2.0,484.0,1981,2003,6,306.0,1,78.0,12090,239,3.0,NWAmes,RL,1Fam,BrkFace,2Story,CBlock,WD ,7,7,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,176000
99,1514,794.0,2.0,394.0,2000,2000,7,0.0,1,42.0,8433,72,4.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Ex,TA,Typ,SBrkr,TA,190000
100,864,864.0,1.0,312.0,1967,1967,5,0.0,0,62.0,7130,0,2.0,NAmes,RL,1Fam,None,1Story,PConc,WD ,5,6,TA,TA,TA,TA,Typ,SBrkr,TA,130000
101,1661,1649.0,2.0,598.0,1998,1998,6,442.0,0,48.0,12137,34,2.0,CollgCr,RL,1Fam,BrkFace,1Story,PConc,WD ,7,5,TA,Gd,Ex,Gd,Typ,SBrkr,TA,224900
102,1360,1220.0,2.0,565.0,1984,1984,4,0.0,1,59.666666666666664,5814,63,2.0,StoneBr,RL,TwnhsE,None,1Story,CBlock,COD,8,5,Gd,Gd,Gd,Gd,Typ,SBrkr,TA,187500
103,1224,1224.0,2.0,402.0,1999,1999,5,425.0,0,77.3061224489796,4500,304,3.0,Mitchel,RM,TwnhsE,BrkFace,1Story,PConc,WD ,6,5,TA,Ex,Ex,TA,Typ,SBrkr,TA,165000
104,1342,698.0,2.0,393.0,2003,2003,7,0.0,1,73.04838709677419,8174,156,4.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,178000
105,1276,1276.0,1.0,350.0,1958,1958,5,0.0,0,68.0,9571,0,1.0,Edwards,RL,1Fam,None,1Story,CBlock,COD,5,3,TA,TA,TA,TA,Mod,FuseA,TA,60000
106,1215,720.0,2.0,720.0,1940,1950,6,0.0,0,50.0,7000,30,1.0,IDOTRR,RM,1Fam,None,1.5Fin,BrkTil,WD ,6,7,TA,TA,Gd,Gd,Typ,FuseA,TA,141000
107,1830,1302.0,3.0,859.0,2006,2006,7,0.0,0,75.0,8778,40,3.0,Somerst,RL,1Fam,None,2Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,221300
108,1122,924.0,2.0,528.0,1948,2005,6,0.0,0,100.0,12000,36,2.0,OldTown,RM,1Fam,None,1Story,CBlock,WD ,5,7,TA,TA,Ex,Gd,Typ,SBrkr,TA,147000
109,1842,985.0,2.0,486.0,2000,2000,7,144.0,1,71.15384615384616,8826,289,4.0,CollgCr,RL,1Fam,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,217500
110,894,894.0,2.0,552.0,1972,1972,5,0.0,0,70.0,9800,256,2.0,CollgCr,RL,1Fam,None,1Story,PConc,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,149900
111,1258,1198.0,2.0,400.0,1969,1969,6,0.0,0,60.0,12900,120,4.0,Sawyer,RL,Duplex,None,SFoyer,CBlock,WD ,4,4,TA,Gd,TA,TA,Typ,SBrkr,Fa,108959
112,1499,781.0,2.0,473.0,1995,1995,6,68.0,1,65.0,12438,504,3.0,CollgCr,RL,1Fam,BrkFace,2Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,187000
113,1088,1088.0,2.0,520.0,1963,1963,4,20.0,0,67.0,8308,0,1.0,Edwards,RL,1Fam,Stone,1Story,CBlock,COD,4,6,TA,TA,TA,TA,Typ,SBrkr,TA,110000
114,816,816.0,1.0,100.0,1922,1950,5,0.0,0,46.0,3672,96,1.0,IDOTRR,RM,1Fam,None,1Story,BrkTil,WD ,5,7,TA,TA,Ex,TA,Typ,SBrkr,Fa,75200
115,848,848.0,2.0,420.0,2003,2004,4,170.0,0,71.15384615384616,4435,140,2.0,CollgCr,RM,TwnhsE,BrkFace,1Story,PConc,WD ,6,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,144000
116,904,876.0,1.0,408.0,1966,1966,6,41.0,0,75.24528301886792,7162,0,1.0,Sawyer,RL,1Fam,BrkCmn,1Story,PConc,WD ,5,7,TA,TA,TA,TA,Typ,SBrkr,TA,109900
117,1689,1568.0,3.0,857.0,2002,2002,7,148.0,2,77.3061224489796,13265,209,3.0,Mitchel,RL,1Fam,BrkFace,1Story,PConc,WD ,8,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,271000
118,672,672.0,1.0,240.0,1940,1997,4,0.0,0,60.0,10200,168,1.0,Sawyer,RL,1Fam,None,1Story,PConc,WD ,5,8,TA,TA,Ex,TA,Typ,SBrkr,TA,108000
119,1905,1905.0,3.0,788.0,2006,2006,8,302.0,1,84.0,11670,191,2.0,Somerst,RL,1Fam,Stone,1Story,PConc,WD ,9,5,Ex,Ex,Ex,Ex,Typ,SBrkr,TA,320000
120,1044,540.0,2.0,504.0,1952,1952,4,0.0,0,66.0,8712,0,1.0,IDOTRR,C (all),1Fam,None,1Story,CBlock,WD ,5,5,Fa,TA,TA,Fa,Typ,FuseA,TA,55993
121,1658,773.0,2.0,431.0,1995,1996,8,0.0,1,73.04838709677419,8000,308,4.0,Gilbert,RL,1Fam,None,2Story,PConc,WD ,6,5,TA,Gd,Gd,TA,Typ,SBrkr,TA,188000
122,1867,1617.0,1.0,303.0,1955,1993,7,0.0,3,96.7,10708,618,2.0,ClearCr,RL,1Fam,None,1Story,CBlock,COD,5,5,Gd,TA,Ex,TA,Typ,FuseA,TA,190000
